category_id,base_color_name,base_color_hex,base_color_r,base_color_g,base_color_b,combination_color_name,hex_combination_color,combination_color_r,combination_color_g,combination_color_b,,,,,
cat_001,navy,#082366,8,35,102,cobalt,#1B3F97,27,63,151,,,,,
cat_001,navy,#082366,8,35,102,turquoise,#01A0B3,1,160,179,,,,,
cat_001,navy,#082366,8,35,102,emerald,#016A5C,1,106,92,,,,,
cat_001,navy,#082366,8,35,102,sea foam,#CDEBEB,205,235,235,,,,,
cat_001,navy,#082366,8,35,102, sky blue,#76D7EA,118,215,234,,,,,
cat_001,navy,#082366,8,35,102,white,#FFFFFF,255,255,255,,,,,
cat_001,navy,#082366,8,35,102,berry,#B2015C,178,1,92,,,,,
cat_001,navy,#082366,8,35,102,mustard,#E5B539,229,181,57,,,,,
cat_001,navy,#082366,8,35,102,brown,#9C5F0C,156,95,12,,,,,
cat_001,navy,#082366,8,35,102,plum,#771D7D,119,29,125,,,,,
cat_001,navy,#082366,8,35,102,navy,#082366,8,35,102,,,,,
cat_002,cobalt,#1B3F97,27,63,151,cobalt,#1B3F97,27,63,151,,,,,
cat_002,cobalt,#1B3F97,27,63,151,turquoise,#01A0B3,1,160,179,,,,,
cat_002,cobalt,#1B3F97,27,63,151,bright green,#01A638,1,166,56,,,,,
cat_002,cobalt,#1B3F97,27,63,151,sea foam,#CDEBEB,205,235,235,,,,,
cat_002,cobalt,#1B3F97,27,63,151, sky blue,#76D7EA,118,215,234,,,,,
cat_002,cobalt,#1B3F97,27,63,151,white,#FFFFFF,255,255,255,,,,,
cat_002,cobalt,#1B3F97,27,63,151,berry,#B2015C,178,1,92,,,,,
cat_002,cobalt,#1B3F97,27,63,151,mustard,#E5B539,229,181,57,,,,,
cat_002,cobalt,#1B3F97,27,63,151, orange,#FF8833,255,136,51,,,,,
cat_002,cobalt,#1B3F97,27,63,151,brown,#9C5F0C,156,95,12,,,,,
cat_002,cobalt,#1B3F97,27,63,151,purple,#7F3E98,127,62,152,,,,,
cat_002,cobalt,#1B3F97,27,63,151,plum,#771D7D,119,29,125,,,,,
cat_003,blue,#00B0F0,0,176,240,turquoise,#01A0B3,1,160,179,,,,,
cat_003,blue,#00B0F0,0,176,240,cobalt,#1B3F97,27,63,151,,,,,
cat_003,blue,#00B0F0,0,176,240,bright green,#01A638,1,166,56,,,,,
cat_003,blue,#00B0F0,0,176,240,sea foam,#CDEBEB,205,235,235,,,,,
cat_003,blue,#00B0F0,0,176,240, sky blue,#76D7EA,118,215,234,,,,,
cat_003,blue,#00B0F0,0,176,240,white,#FFFFFF,255,255,255,,,,,
cat_003,blue,#00B0F0,0,176,240,berry,#B2015C,178,1,92,,,,,
cat_003,blue,#00B0F0,0,176,240,mustard,#E5B539,229,181,57,,,,,
cat_003,blue,#00B0F0,0,176,240, red orange,#FF681F,255,104,31,,,,,
cat_003,blue,#00B0F0,0,176,240,brown,#9C5F0C,156,95,12,,,,,
cat_004,sky_blue,#76D7EA,118,215,234,charcoal,#6A757B,106,117,123,,,,,
cat_004,sky_blue,#76D7EA,118,215,234,lilac,#B9B3D9,185,179,217,,,,,
cat_004,sky_blue,#76D7EA,118,215,234, yellow green,#C5E17A,197,225,122,,,,,
cat_004,sky_blue,#76D7EA,118,215,234,green,#66923D,102,146,61,,,,,
cat_004,sky_blue,#76D7EA,118,215,234,sea foam,#CDEBEB,205,235,235,,,,,
cat_004,sky_blue,#76D7EA,118,215,234,white,#FFFFFF,255,255,255,,,,,
cat_004,sky_blue,#76D7EA,118,215,234,pink,#F195BE,241,149,190,,,,,
cat_004,sky_blue,#76D7EA,118,215,234,mauve,#B46C6F,180,108,111,,,,,
cat_004,sky_blue,#76D7EA,118,215,234,light yellow,#FBE870,251,232,112,,,,,
cat_004,sky_blue,#76D7EA,118,215,234,coral,#F69E88,246,158,136,,,,,
cat_004,sky_blue,#76D7EA,118,215,234,purple,#7F3E98,127,62,152,,,,,
cat_005,sea_foam,#CDEBEB,205,235,235,charcoal,#6A757B,106,117,123,,,,,
cat_005,sea_foam,#CDEBEB,205,235,235,lilac,#B9B3D9,185,179,217,,,,,
cat_005,sea_foam,#CDEBEB,205,235,235,gray,#B2B7BB,178,183,187,,,,,
